Solution type,Mung Bean,Pre-length of the mung green (cm),Post-length of the mung bean (cm),,Growth length(cm)
Tap Water,1,0,23.6,,
,2,0,22.6,,
,3,0,16.5,,
,4,0,34.5,,
,5,0,25.9,,
,6,0,33,,
,7,0,24,,
,8,0,27.1,,
,9,0,31,,
,10,0,33.3,,
,11,0,29.8,,
,12,0,33.9,,
,13,0,23.2,,
,14,0,35.9,,
,15,0,31,,
,16,0,32.7,,
,17,0,27.4,,
,18,0,23.8,,
,19,0,35.1,,
,20,0,30.1,,
,21,0,23.5,,
,22,0,24.7,,
,23,0,26.2,,
,24,0,24.6,,
,25,0,22.9,,
,26,0,24.9,,
,27,0,26.7,,
,28,0,24.3,,
,29,0,23.5,,
,30,0,23.5,,
Distilled water,31,0,8,,
,32,0,12,,
,33,0,22.4,,
,34,0,16.3,,
,35,0,17.9,,
,36,0,22.9,,
,37,0,20.6,,
,38,0,23.7,,
,39,0,13.4,,
,40,0,11.5,,
,41,0,18.5,,
,42,0,18.1,,
,43,0,20.8,,
,44,0,18.5,,
,45,0,27.3,,
,46,0,21.7,,
,47,0,24.8,,
,48,0,20.5,,
,49,0,19.2,,
,50,0,19.5,,
,51,0,17.3,,
,52,0,16.4,,
,53,0,18.9,,
,54,0,15.8,,
,55,0,15.8,,
,56,0,19.4,,
,57,0,18.8,,
,58,0,17.2,,
,59,0,16.8,,
,60,0,13.8,,
Mineral Water,61,0,12.8,,
,62,0,15.3,,
,63,0,18.5,,
,64,0,16.1,,
,65,0,30,,
,66,0,33.5,,
,67,0,27,,
,68,0,22,,
,69,0,28.2,,
,70,0,36.5,,
,71,0,27,,
,72,0,26.4,,
,73,0,27.2,,
,74,0,26,,
,75,0,24.1,,
,76,0,22.1,,
,77,0,21.8,,
,78,0,17,,
,79,0,23.1,,
,80,0,16.8,,
,81,0,24.4,,
,82,0,24,,
,83,0,21.4,,
,84,0,23.2,,
,85,0,23.5,,
,86,0,24.4,,
,87,0,20,,
,88,0,22,,
,89,0,20.4,,
,90,0,19.6,,
Coke Zero,91,0,9,,
,92,0,4.1,,
,93,0,5.8,,
,94,0,4.1,,
,95,0,5.7,,
,96,0,5.4,,
,97,0,5.5,,
,98,0,5.7,,
,99,0,5,,
,100,0,5.2,,
,101,0,5.1,,
,102,0,4.3,,
,103,0,5.2,,
,104,0,6.4,,
,105,0,8,,
,106,0,7.2,,
,107,0,3.5,,
,108,0,3.8,,
,109,0,4.5,,
,110,0,2.8,,
,111,0,5.3,,
,112,0,4.8,,
,113,0,5,,
,114,0,4.9,,
,115,0,5,,
,116,0,4.4,,
,117,0,4.5,,
,118,0,3.2,,
,119,0,1.8,,
,120,0,2.2,,
